Unnamed: 0,labels,text,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o3-mini,o1-mini
0,6232,love,I love it. Probably my favorite game mode right now. Especially when playing with a buddy.,joy,joy,joy,,joy
1,30473,joy,Those are some interesting stats. I’m gonna save your answer so I can remember them for later discussions. Thanks for that.,neutral,joy,anger,,joy
2,43446,neutral,Justified or not he'll probably go before [NAME],,neutral,anger,,neutral
3,23954,neutral,"If I'm no good I can still give the 1st round a crack, yeah?",,neutral,anger,,fear
4,24657,joy,At least it made for hilarious responses by people being aghast by the price.,joy,joy,joy,,joy
5,25589,neutral,"""qt 3.14"" made me retreat into my own face, so much second hand cringe ",disgust,disgust,disgust,,anger
6,27710,joy,"This one is by [NAME]! Your suggestion was funny to me, and you've been blessed with your joke being DR Onion #20!",joy,joy,joy,,joy
7,46841,neutral,"Assuming you're a dude, yes, just let him watch you. But be ready to clean up the toilet seat and surrounding area a lot.",neutral,neutral,anger,,disgust
8,11235,neutral,"Grew up in an early 90's house with door handles, no knobs. My parents just switched to knobs after 25 years.",neutral,neutral,anger,,neutral
9,1634,neutral,"I see your ""making myself undateable"" and raise you a ""try to make myself as dateable as possible and still fail""",joy,sadness,sadness,,sadness
10,29937,disgust,"Take a shower brother, i can smell you through my phone",disgust,disgust,anger,,disgust
11,36624,anger,"New word for me: tetch·y /ˈteCHē/ adjective bad-tempered and irritable. ""she had always been tetchy and impatient with him""",neutral,anger,anger,,anger
12,18851,joy,Ah what a good start,anger,joy,joy,,joy
13,38457,anger,The Birds is probably not quite what you are expecting.,anger,neutral,anger,,
14,42681,neutral,Now you're lying. Suburbs = more than Bellevue and Kirkland.,anger,anger,anger,,anger
15,11766,anger,Maybe unpopular but I never eat pancakes with syrup. Way too damn sweet.,disgust,disgust,disgust,,disgust
16,15235,sadness,Your life must be miserable. That's sad somehow,sadness,sadness,sadness,,anger
17,25444,neutral,That's definitely way over the top. He's not anywhere near that bad.,anger,neutral,anger,,anger
18,27546,joy,Well that makes it easy. Thanks again. I'll look into it.,neutral,joy,anger,,joy
19,331,love,Their orange chicken is the absolute fucking bomb. I love having it on top of a nice bed of rice and veggies :D,joy,joy,joy,,joy
20,9383,neutral,"Ah yes, the true third gender. ",neutral,neutral,anger,,anger
21,21985,joy,Thank u!!! Im gonna try this one bless u,joy,joy,joy,,joy
22,37654,sadness,Ya it’s Bamas league to lose every year,anger,anger,anger,,anger
23,24030,anger,I solo climbed to Master as main DPS with 60hz. It really doesnt matter.,anger,neutral,anger,,
24,15723,joy,"Sorry but why does it matter that you're ""from /r/All""? ",,neutral,,,anger
25,16728,joy,well guys it was fun. [NAME] passed up the open three ffs,anger,neutral,anger,,anger
26,13583,joy,[NAME] YES!!!,joy,joy,joy,,joy
27,36124,neutral,Spicy water.,anger,neutral,disgust,,anger
28,13567,neutral,She tried playing the “I know a secret” game during the hearing. It blew up in her,anger,neutral,anger,,
29,17786,surprise,Is that his thing? (I honestly don't know what his thing is),,neutral,anger,,surprise
30,6995,surprise,"Wow, that was insane",anger,surprise,surprise,,surprise
31,38626,joy,"The internationalist EU. The [NAME], [NAME], [NAME] and [NAME] are just brimming with all that international SOLIDARITY ❤️",disgust,joy,anger,,joy
32,4209,joy,I enjoyed speaking to [NAME],joy,joy,joy,,anger
33,36891,neutral,"Just a friend, chill",anger,neutral,anger,,anger
34,44782,neutral,That’s exactly how my fanfiction goes,,neutral,anger,,
35,8620,anger,"No, there’s a ton of people like you in this thread who don’t seem to understand that head glitching does not equal taking cover.",anger,anger,anger,,anger
36,18571,surprise,I don't know who is dumber here.,anger,anger,anger,,anger
37,11330,neutral,350 calories The large is 20 oz and it’s 140 per 8 oz so 350,neutral,neutral,neutral,,neutral
38,17158,surprise,Very interesting to find out about small details like this. Are there any similar problems with any of the other armor sets?,neutral,joy,anger,,neutral
39,30539,joy,I skipped the Oilers game for a birthday party for a cat. I’m glad I did that instead.,joy,joy,joy,,joy
40,13845,sadness,These leaks are actually very credible. It's sad that you guys let Hate and anger blind you from enjoying the experience.,anger,sadness,anger,,anger
41,10987,neutral,"Here. I didn’t delete it, but rather changed my tumblr name.",anger,neutral,neutral,,anger
42,4625,joy,Bears are empathetic creatures? lol...,,joy,,,
43,5054,fear,What a terrible list,anger,disgust,anger,,anger
44,5928,joy,I’m gonna need a couple more checks before I trade down for a retarded kid.,anger,anger,disgust,,disgust
45,36022,joy,Underrated comment 🤣,joy,joy,joy,,joy
46,11374,surprise,"Bleak but may be accurate. I wonder - are there examples of other franchises that went down the toilet, but that then actually make a comeback?",anger,sadness,sadness,,sadness
47,3710,neutral,"*police proceed to slide down hill* *I quickly jump in police cruiser, as friend holds bumper*",anger,neutral,,,anger
48,10291,joy,Absolutely you are doing the right thing. She will not take this decision lightly. So be prepared for the fallout now.,fear,fear,,,fear
49,42500,joy,Right now I’d have to say [NAME] new restaurant UB Preserve is my favorite place to eat. So good.,joy,joy,joy,,joy
