,text
6232,I love it. Probably my favorite game mode right now. Especially when playing with a buddy.
30473,Those are some interesting stats. I’m gonna save your answer so I can remember them for later discussions. Thanks for that.
43446,Justified or not he'll probably go before [NAME]
23954,"If I'm no good I can still give the 1st round a crack, yeah?"
24657,At least it made for hilarious responses by people being aghast by the price.
25589,"""qt 3.14"" made me retreat into my own face, so much second hand cringe "
27710,"This one is by [NAME]! Your suggestion was funny to me, and you've been blessed with your joke being DR Onion #20!"
46841,"Assuming you're a dude, yes, just let him watch you. But be ready to clean up the toilet seat and surrounding area a lot."
11235,"Grew up in an early 90's house with door handles, no knobs. My parents just switched to knobs after 25 years."
1634,"I see your ""making myself undateable"" and raise you a ""try to make myself as dateable as possible and still fail"""
29937,"Take a shower brother, i can smell you through my phone"
36624,"New word for me: tetch·y /ˈteCHē/ adjective bad-tempered and irritable. ""she had always been tetchy and impatient with him"""
18851,Ah what a good start
38457,The Birds is probably not quite what you are expecting.
42681,Now you're lying. Suburbs = more than Bellevue and Kirkland.
11766,Maybe unpopular but I never eat pancakes with syrup. Way too damn sweet.
15235,Your life must be miserable. That's sad somehow
25444,That's definitely way over the top. He's not anywhere near that bad.
27546,Well that makes it easy. Thanks again. I'll look into it.
331,Their orange chicken is the absolute fucking bomb. I love having it on top of a nice bed of rice and veggies :D
9383,"Ah yes, the true third gender. "
21985,Thank u!!! Im gonna try this one bless u
37654,Ya it’s Bamas league to lose every year
24030,I solo climbed to Master as main DPS with 60hz. It really doesnt matter.
15723,"Sorry but why does it matter that you're ""from /r/All""? "
16728,well guys it was fun. [NAME] passed up the open three ffs
13583,[NAME] YES!!!
36124,Spicy water.
13567,She tried playing the “I know a secret” game during the hearing. It blew up in her
17786,Is that his thing? (I honestly don't know what his thing is)
6995,"Wow, that was insane"
38626,"The internationalist EU. The [NAME], [NAME], [NAME] and [NAME] are just brimming with all that international SOLIDARITY ❤️"
4209,I enjoyed speaking to [NAME]
36891,"Just a friend, chill"
44782,That’s exactly how my fanfiction goes
8620,"No, there’s a ton of people like you in this thread who don’t seem to understand that head glitching does not equal taking cover."
18571,I don't know who is dumber here.
11330,350 calories The large is 20 oz and it’s 140 per 8 oz so 350
17158,Very interesting to find out about small details like this. Are there any similar problems with any of the other armor sets?
30539,I skipped the Oilers game for a birthday party for a cat. I’m glad I did that instead.
13845,These leaks are actually very credible. It's sad that you guys let Hate and anger blind you from enjoying the experience.
10987,"Here. I didn’t delete it, but rather changed my tumblr name."
4625,Bears are empathetic creatures? lol...
5054,What a terrible list
5928,I’m gonna need a couple more checks before I trade down for a retarded kid.
36022,Underrated comment 🤣
11374,"Bleak but may be accurate. I wonder - are there examples of other franchises that went down the toilet, but that then actually make a comeback?"
3710,"*police proceed to slide down hill* *I quickly jump in police cruiser, as friend holds bumper*"
10291,Absolutely you are doing the right thing. She will not take this decision lightly. So be prepared for the fallout now.
42500,Right now I’d have to say [NAME] new restaurant UB Preserve is my favorite place to eat. So good.
