Unnamed: 0,text,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o1-mini
0,6232,I love it. Probably my favorite game mode right now. Especially when playing with a buddy.,joy,joy,joy,joy
1,30473,Those are some interesting stats. I’m gonna save your answer so I can remember them for later discussions. Thanks for that.,joy,joy,joy,joy
2,43446,Justified or not he'll probably go before [NAME],sadness,neutral,neutral,neutral
3,23954,"If I'm no good I can still give the 1st round a crack, yeah?",neutral,neutral,neutral,neutral
4,24657,At least it made for hilarious responses by people being aghast by the price.,joy,joy,joy,joy
5,25589,"""qt 3.14"" made me retreat into my own face, so much second hand cringe ",disgust,disgust,disgust,disgust
6,27710,"This one is by [NAME]! Your suggestion was funny to me, and you've been blessed with your joke being DR Onion #20!",joy,joy,joy,joy
7,46841,"Assuming you're a dude, yes, just let him watch you. But be ready to clean up the toilet seat and surrounding area a lot.",disgust,neutral,neutral,disgust
8,11235,"Grew up in an early 90's house with door handles, no knobs. My parents just switched to knobs after 25 years.",neutral,neutral,neutral,neutral
9,1634,"I see your ""making myself undateable"" and raise you a ""try to make myself as dateable as possible and still fail""",joy,sadness,sadness,sadness
10,29937,"Take a shower brother, i can smell you through my phone",disgust,disgust,disgust,disgust
11,36624,"New word for me: tetch·y /ˈteCHē/ adjective bad-tempered and irritable. ""she had always been tetchy and impatient with him""",neutral,neutral,neutral,neutral
12,18851,Ah what a good start,joy,joy,joy,joy
13,38457,The Birds is probably not quite what you are expecting.,neutral,surprise,neutral,surprise
14,42681,Now you're lying. Suburbs = more than Bellevue and Kirkland.,anger,anger,anger,anger
15,11766,Maybe unpopular but I never eat pancakes with syrup. Way too damn sweet.,disgust,disgust,disgust,anger
16,15235,Your life must be miserable. That's sad somehow,sadness,sadness,sadness,sadness
17,25444,That's definitely way over the top. He's not anywhere near that bad.,neutral,anger,anger,anger
18,27546,Well that makes it easy. Thanks again. I'll look into it.,joy,joy,joy,joy
19,331,Their orange chicken is the absolute fucking bomb. I love having it on top of a nice bed of rice and veggies :D,joy,joy,joy,joy
20,9383,"Ah yes, the true third gender. ",surprise,neutral,disgust,neutral
21,21985,Thank u!!! Im gonna try this one bless u,joy,joy,joy,joy
22,37654,Ya it’s Bamas league to lose every year,anger,sadness,neutral,anger
23,24030,I solo climbed to Master as main DPS with 60hz. It really doesnt matter.,surprise,joy,neutral,neutral
24,15723,"Sorry but why does it matter that you're ""from /r/All""? ",neutral,surprise,anger,anger
25,16728,well guys it was fun. [NAME] passed up the open three ffs,anger,anger,anger,anger
26,13583,[NAME] YES!!!,joy,joy,joy,joy
27,36124,Spicy water.,neutral,neutral,surprise,surprise
28,13567,She tried playing the “I know a secret” game during the hearing. It blew up in her,anger,surprise,anger,surprise
29,17786,Is that his thing? (I honestly don't know what his thing is),surprise,neutral,neutral,surprise
30,6995,"Wow, that was insane",surprise,surprise,surprise,surprise
31,38626,"The internationalist EU. The [NAME], [NAME], [NAME] and [NAME] are just brimming with all that international SOLIDARITY ❤️",anger,joy,joy,joy
32,4209,I enjoyed speaking to [NAME],joy,joy,joy,joy
33,36891,"Just a friend, chill",neutral,neutral,neutral,neutral
34,44782,That’s exactly how my fanfiction goes,neutral,neutral,neutral,neutral
35,8620,"No, there’s a ton of people like you in this thread who don’t seem to understand that head glitching does not equal taking cover.",anger,anger,anger,anger
36,18571,I don't know who is dumber here.,anger,anger,anger,anger
37,11330,350 calories The large is 20 oz and it’s 140 per 8 oz so 350,neutral,neutral,neutral,neutral
38,17158,Very interesting to find out about small details like this. Are there any similar problems with any of the other armor sets?,joy,joy,neutral,neutral
39,30539,I skipped the Oilers game for a birthday party for a cat. I’m glad I did that instead.,joy,joy,joy,joy
40,13845,These leaks are actually very credible. It's sad that you guys let Hate and anger blind you from enjoying the experience.,sadness,sadness,sadness,sadness
41,10987,"Here. I didn’t delete it, but rather changed my tumblr name.",neutral,neutral,neutral,neutral
42,4625,Bears are empathetic creatures? lol...,surprise,joy,disgust,joy
43,5054,What a terrible list,anger,disgust,anger,disgust
44,5928,I’m gonna need a couple more checks before I trade down for a retarded kid.,anger,disgust,disgust,disgust
45,36022,Underrated comment 🤣,joy,joy,joy,joy
46,11374,"Bleak but may be accurate. I wonder - are there examples of other franchises that went down the toilet, but that then actually make a comeback?",neutral,sadness,neutral,neutral
47,3710,"*police proceed to slide down hill* *I quickly jump in police cruiser, as friend holds bumper*",surprise,neutral,surprise,neutral
48,10291,Absolutely you are doing the right thing. She will not take this decision lightly. So be prepared for the fallout now.,fear,neutral,fear,fear
49,42500,Right now I’d have to say [NAME] new restaurant UB Preserve is my favorite place to eat. So good.,joy,joy,joy,joy
